American Community Survey (ACS) Data Time Period,Borough,Borough Community District Code,Community District Name,Language,LEP Population (Estimate),% of LEP Population,CVALEP Population (Estimate),% of CVALEP Population
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Armenian,33.0,0.0,0.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Bengali,757.0,0.9,398.0,0.9
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Bosnian,148.0,0.2,132.0,0.3
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Bulgarian,10.0,0.0,0.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Burmese,318.0,0.4,166.0,0.4
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Chin languages,85.0,0.1,0.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach","Chinese (incl. Mandarin, Cantonese)",39228.0,46.6,25028.0,55.6
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Croatian,16.0,0.0,16.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Czech,24.0,0.0,24.0,0.1
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Farsi,118.0,0.1,62.0,0.1
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Filipino,7.0,0.0,7.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",French,127.0,0.2,44.0,0.1
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",German,12.0,0.0,0.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Greek,217.0,0.3,159.0,0.4
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Gujarati,22.0,0.0,22.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Haitian,67.0,0.1,67.0,0.1
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Hawaiian,16.0,0.0,16.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Hebrew,118.0,0.1,67.0,0.1
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Hindi,29.0,0.0,29.0,0.1
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Hungarian,105.0,0.1,13.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Italian,3596.0,4.3,2603.0,5.8
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Karen languages,14.0,0.0,14.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Khmer,199.0,0.2,145.0,0.3
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Korean,210.0,0.2,149.0,0.3
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Latvian,47.0,0.1,0.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Lithuanian,49.0,0.1,0.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Malay,15.0,0.0,0.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Malayalam,52.0,0.1,42.0,0.1
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Min Nan Chinese,219.0,0.3,86.0,0.2
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Nilo-Saharan languages,27.0,0.0,27.0,0.1
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Other Afro-Asiatic languages,60.0,0.1,17.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Other Bantu languages,17.0,0.0,17.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Other Central and South American languages,51.0,0.1,0.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Other Indo-European languages,26.0,0.0,0.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Other Indo-Iranian languages,79.0,0.1,0.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Other Native North American languages,15.0,0.0,0.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Other and unspecified languages,791.0,0.9,279.0,0.6
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Other languages of Asia,727.0,0.9,36.0,0.1
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Polish,1071.0,1.3,448.0,1.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Portuguese,38.0,0.0,38.0,0.1
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Punjabi,27.0,0.0,27.0,0.1
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Romanian,65.0,0.1,7.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Russian,12867.0,15.3,7887.0,17.5
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Serbian,36.0,0.0,24.0,0.1
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Serbocroatian,17.0,0.0,17.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Slovak,124.0,0.1,60.0,0.1
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Spanish,14002.0,16.6,2459.0,5.5
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Tagalog,85.0,0.1,16.0,0.0
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Thai,31.0,0.0,31.0,0.1
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Tibetan,47.0,0.1,47.0,0.1
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Turkish,224.0,0.3,67.0,0.1
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Ukrainian,555.0,0.7,252.0,0.6
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Urdu,2821.0,3.4,1381.0,3.1
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Vietnamese,420.0,0.5,320.0,0.7
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Yiddish,293.0,0.3,220.0,0.5
2015-2019,Brooklyn,311,"Bensonhurst, Bath Beach",Yoruba,4.0,0.0,4.0,0.0
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Albanian,608.0,1.5,235.0,1.2
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Arabic,597.0,1.5,297.0,1.5
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Armenian,46.0,0.1,26.0,0.1
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Bengali,3174.0,8.0,1971.0,9.8
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Bosnian,36.0,0.1,0.0,0.0
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Bulgarian,14.0,0.0,0.0,0.0
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Burmese,6.0,0.0,6.0,0.0
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway","Chinese (incl. Mandarin, Cantonese)",6379.0,16.0,3054.0,15.1
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Dutch,55.0,0.1,36.0,0.2
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Farsi,342.0,0.9,94.0,0.5
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",French,83.0,0.2,28.0,0.1
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",German,89.0,0.2,89.0,0.4
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Greek,114.0,0.3,114.0,0.6
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Gujarati,27.0,0.1,13.0,0.1
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Haitian,169.0,0.4,116.0,0.6
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Hebrew,772.0,1.9,589.0,2.9
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Hindi,116.0,0.3,34.0,0.2
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Hungarian,348.0,0.9,211.0,1.0
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",India N.E.C.,3.0,0.0,0.0,0.0
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Indonesian,40.0,0.1,40.0,0.2
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Italian,441.0,1.1,358.0,1.8
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Japanese,30.0,0.1,13.0,0.1
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Khmer,7.0,0.0,0.0,0.0
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Korean,13.0,0.0,0.0,0.0
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Latvian,8.0,0.0,0.0,0.0
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Macedonian,11.0,0.0,0.0,0.0
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Malayalam,15.0,0.0,15.0,0.1
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Min Nan Chinese,35.0,0.1,27.0,0.1
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Nepali,38.0,0.1,38.0,0.2
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Other Indo-European languages,209.0,0.5,0.0,0.0
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Other Indo-Iranian languages,368.0,0.9,34.0,0.2
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Other and unspecified languages,172.0,0.4,91.0,0.5
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Other languages of Asia,653.0,1.6,13.0,0.1
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Pakistan N.E.C.,246.0,0.6,115.0,0.6
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Polish,749.0,1.9,259.0,1.3
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Portuguese,74.0,0.2,14.0,0.1
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Punjabi,101.0,0.3,92.0,0.5
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Romanian,59.0,0.1,32.0,0.2
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Russian,3506.0,8.8,2880.0,14.3
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Slovak,16.0,0.0,16.0,0.1
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Spanish,6292.0,15.8,2716.0,13.5
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Tagalog,31.0,0.1,30.0,0.1
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Tamil,20.0,0.1,0.0,0.0
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Telugu,75.0,0.2,0.0,0.0
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Thai,9.0,0.0,0.0,0.0
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Tibetan,55.0,0.1,55.0,0.3
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Turkish,33.0,0.1,0.0,0.0
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Ukrainian,253.0,0.6,191.0,0.9
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Urdu,880.0,2.2,562.0,2.8
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Vietnamese,35.0,0.1,26.0,0.1
2015-2019,Brooklyn,312,"Borough Park, Ocean Parkway",Yiddish,12432.0,31.2,5644.0,28.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Akan (incl. Twi),37.0,0.1,37.0,0.1
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Albanian,18.0,0.0,9.0,0.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Arabic,901.0,1.8,313.0,1.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Armenian,219.0,0.4,142.0,0.4
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Bengali,730.0,1.4,215.0,0.7
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Bosnian,23.0,0.0,23.0,0.1
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Burmese,172.0,0.3,172.0,0.5
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Cebuano,35.0,0.1,0.0,0.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach","Chinese (incl. Mandarin, Cantonese)",5747.0,11.4,3393.0,10.4
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Croatian,26.0,0.1,26.0,0.1
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Czech,44.0,0.1,44.0,0.1
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Farsi,47.0,0.1,0.0,0.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Filipino,34.0,0.1,0.0,0.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",French,244.0,0.5,63.0,0.2
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Greek,48.0,0.1,48.0,0.1
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Haitian,244.0,0.5,142.0,0.4
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Hebrew,31.0,0.1,15.0,0.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Hindi,26.0,0.1,26.0,0.1
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Hungarian,6.0,0.0,6.0,0.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Irish,9.0,0.0,9.0,0.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Italian,415.0,0.8,260.0,0.8
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Korean,167.0,0.3,73.0,0.2
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Lithuanian,98.0,0.2,73.0,0.2
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Malayalam,107.0,0.2,81.0,0.2
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Min Nan Chinese,12.0,0.0,0.0,0.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Other Central and South American languages,18.0,0.0,18.0,0.1
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Other Eastern Malayo-Polynesian languages,12.0,0.0,0.0,0.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Other Indo-European languages,13.0,0.0,13.0,0.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Other Indo-Iranian languages,42.0,0.1,13.0,0.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Other and unspecified languages,170.0,0.3,56.0,0.2
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Other languages of Asia,893.0,1.8,120.0,0.4
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Pakistan N.E.C.,37.0,0.1,18.0,0.1
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Pashto,15.0,0.0,15.0,0.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Polish,434.0,0.9,294.0,0.9
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Portuguese,20.0,0.0,0.0,0.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Punjabi,12.0,0.0,12.0,0.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Romanian,53.0,0.1,40.0,0.1
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Russian,28553.0,56.6,21456.0,66.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Spanish,6889.0,13.7,2937.0,9.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Tagalog,122.0,0.2,112.0,0.3
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Turkish,45.0,0.1,0.0,0.0
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Ukrainian,1249.0,2.5,802.0,2.5
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Urdu,2083.0,4.1,1212.0,3.7
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Vietnamese,207.0,0.4,194.0,0.6
2015-2019,Brooklyn,313,"Coney Island, Brighton Beach",Yiddish,140.0,0.3,32.0,0.1
2015-2019,Brooklyn,314,"Flatbush, Midwood",Akan (incl. Twi),26.0,0.1,26.0,0.1
2015-2019,Brooklyn,314,"Flatbush, Midwood",Albanian,69.0,0.2,30.0,0.2
2015-2019,Brooklyn,314,"Flatbush, Midwood",Amharic,12.0,0.0,12.0,0.1
2015-2019,Brooklyn,314,"Flatbush, Midwood",Arabic,506.0,1.5,129.0,0.7
2015-2019,Brooklyn,314,"Flatbush, Midwood",Bengali,1328.0,3.9,633.0,3.6
2015-2019,Brooklyn,314,"Flatbush, Midwood",Bosnian,61.0,0.2,38.0,0.2
2015-2019,Brooklyn,314,"Flatbush, Midwood",Bulgarian,13.0,0.0,0.0,0.0
2015-2019,Brooklyn,314,"Flatbush, Midwood",Burmese,34.0,0.1,34.0,0.2
2015-2019,Brooklyn,314,"Flatbush, Midwood","Chinese (incl. Mandarin, Cantonese)",1721.0,5.0,1138.0,6.4
2015-2019,Brooklyn,314,"Flatbush, Midwood",Dari,10.0,0.0,0.0,0.0
2015-2019,Brooklyn,314,"Flatbush, Midwood",Farsi,103.0,0.3,23.0,0.1
2015-2019,Brooklyn,314,"Flatbush, Midwood",Filipino,16.0,0.0,11.0,0.1
2015-2019,Brooklyn,314,"Flatbush, Midwood",French,737.0,2.1,490.0,2.8
2015-2019,Brooklyn,314,"Flatbush, Midwood",Fulah,182.0,0.5,143.0,0.8
2015-2019,Brooklyn,314,"Flatbush, Midwood",Gbe languages,9.0,0.0,0.0,0.0
2015-2019,Brooklyn,314,"Flatbush, Midwood",German,75.0,0.2,68.0,0.4
2015-2019,Brooklyn,314,"Flatbush, Midwood",Greek,52.0,0.2,52.0,0.3
2015-2019,Brooklyn,314,"Flatbush, Midwood",Haitian,4912.0,14.3,2866.0,16.1
2015-2019,Brooklyn,314,"Flatbush, Midwood",Hebrew,741.0,2.2,417.0,2.3
2015-2019,Brooklyn,314,"Flatbush, Midwood",Hindi,143.0,0.4,36.0,0.2
2015-2019,Brooklyn,314,"Flatbush, Midwood",Hungarian,81.0,0.2,39.0,0.2
2015-2019,Brooklyn,314,"Flatbush, Midwood",Ilocano,19.0,0.1,19.0,0.1
2015-2019,Brooklyn,314,"Flatbush, Midwood",Indonesian,22.0,0.1,22.0,0.1
2015-2019,Brooklyn,314,"Flatbush, Midwood",Italian,52.0,0.2,3.0,0.0
2015-2019,Brooklyn,314,"Flatbush, Midwood",Jamaican Creole English,47.0,0.1,36.0,0.2
2015-2019,Brooklyn,314,"Flatbush, Midwood",Japanese,174.0,0.5,13.0,0.1
2015-2019,Brooklyn,314,"Flatbush, Midwood",Karen languages,27.0,0.1,18.0,0.1
2015-2019,Brooklyn,314,"Flatbush, Midwood",Korean,20.0,0.1,20.0,0.1
2015-2019,Brooklyn,314,"Flatbush, Midwood",Lithuanian,18.0,0.1,18.0,0.1
2015-2019,Brooklyn,314,"Flatbush, Midwood",Malay,18.0,0.1,18.0,0.1
2015-2019,Brooklyn,314,"Flatbush, Midwood",Malayalam,90.0,0.3,79.0,0.4
2015-2019,Brooklyn,314,"Flatbush, Midwood",Min Nan Chinese,9.0,0.0,9.0,0.1
2015-2019,Brooklyn,314,"Flatbush, Midwood",Other English-based Creole languages,25.0,0.1,25.0,0.1
2015-2019,Brooklyn,314,"Flatbush, Midwood",Other Indo-European languages,128.0,0.4,0.0,0.0
2015-2019,Brooklyn,314,"Flatbush, Midwood",Other Indo-Iranian languages,509.0,1.5,0.0,0.0
2015-2019,Brooklyn,314,"Flatbush, Midwood",Other and unspecified languages,283.0,0.8,130.0,0.7
2015-2019,Brooklyn,314,"Flatbush, Midwood",Other languages of Asia,1324.0,3.9,0.0,0.0
2015-2019,Brooklyn,314,"Flatbush, Midwood",Pashto,73.0,0.2,73.0,0.4
2015-2019,Brooklyn,314,"Flatbush, Midwood",Polish,336.0,1.0,172.0,1.0
2015-2019,Brooklyn,314,"Flatbush, Midwood",Portuguese,48.0,0.1,28.0,0.2
2015-2019,Brooklyn,314,"Flatbush, Midwood",Punjabi,543.0,1.6,269.0,1.5
2015-2019,Brooklyn,314,"Flatbush, Midwood",Russian,6580.0,19.2,5069.0,28.5
2015-2019,Brooklyn,314,"Flatbush, Midwood",Serbian,7.0,0.0,7.0,0.0
2015-2019,Brooklyn,314,"Flatbush, Midwood",Serbocroatian,177.0,0.5,142.0,0.8
2015-2019,Brooklyn,314,"Flatbush, Midwood",Spanish,8023.0,23.4,2839.0,16.0
2015-2019,Brooklyn,314,"Flatbush, Midwood",Swahili,25.0,0.1,13.0,0.1
2015-2019,Brooklyn,314,"Flatbush, Midwood",Tagalog,30.0,0.1,0.0,0.0
2015-2019,Brooklyn,314,"Flatbush, Midwood",Thai,12.0,0.0,0.0,0.0
2015-2019,Brooklyn,314,"Flatbush, Midwood",Tibetan,90.0,0.3,70.0,0.4
2015-2019,Brooklyn,314,"Flatbush, Midwood",Turkish,315.0,0.9,88.0,0.5
2015-2019,Brooklyn,314,"Flatbush, Midwood",Ukrainian,629.0,1.8,435.0,2.4
2015-2019,Brooklyn,314,"Flatbush, Midwood",Urdu,3099.0,9.0,1629.0,9.2
2015-2019,Brooklyn,314,"Flatbush, Midwood",Yiddish,604.0,1.8,309.0,1.7
2015-2019,Brooklyn,314,"Flatbush, Midwood",Yoruba,146.0,0.4,36.0,0.2
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Albanian,598.0,1.2,228.0,0.7
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Arabic,3236.0,6.3,2011.0,6.4
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Armenian,131.0,0.3,131.0,0.4
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Bengali,164.0,0.3,81.0,0.3
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Burmese,187.0,0.4,124.0,0.4
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Cebuano,43.0,0.1,43.0,0.1
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach","Chinese (incl. Mandarin, Cantonese)",12229.0,23.9,7715.0,24.5
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Dari,11.0,0.0,11.0,0.0
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Farsi,98.0,0.2,98.0,0.3
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Filipino,73.0,0.1,34.0,0.1
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",French,141.0,0.3,117.0,0.4
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Greek,101.0,0.2,90.0,0.3
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Haitian,194.0,0.4,90.0,0.3
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Hebrew,819.0,1.6,612.0,1.9
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Hindi,123.0,0.2,92.0,0.3
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Hungarian,101.0,0.2,66.0,0.2
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",India N.E.C.,11.0,0.0,0.0,0.0
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Italian,294.0,0.6,241.0,0.8
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Jamaican Creole English,18.0,0.0,18.0,0.1
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Korean,465.0,0.9,187.0,0.6
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Latvian,137.0,0.3,25.0,0.1
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Malayalam,56.0,0.1,41.0,0.1
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Min Nan Chinese,127.0,0.2,87.0,0.3
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Other Indo-European languages,86.0,0.2,21.0,0.1
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Other Indo-Iranian languages,67.0,0.1,14.0,0.0
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Other and unspecified languages,460.0,0.9,210.0,0.7
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Other languages of Asia,872.0,1.7,69.0,0.2
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Pakistan N.E.C.,82.0,0.2,82.0,0.3
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Polish,462.0,0.9,373.0,1.2
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Punjabi,157.0,0.3,59.0,0.2
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Romanian,96.0,0.2,57.0,0.2
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Russian,20758.0,40.6,14377.0,45.7
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Serbian,40.0,0.1,35.0,0.1
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Serbocroatian,64.0,0.1,64.0,0.2
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Slovak,6.0,0.0,0.0,0.0
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Spanish,5338.0,10.4,1953.0,6.2
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Tagalog,39.0,0.1,39.0,0.1
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Tamil,27.0,0.1,27.0,0.1
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Telugu,7.0,0.0,7.0,0.0
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Thai,14.0,0.0,14.0,0.0
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Turkish,565.0,1.1,400.0,1.3
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Ukrainian,709.0,1.4,431.0,1.4
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Urdu,1315.0,2.6,602.0,1.9
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Vietnamese,373.0,0.7,328.0,1.0
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Yiddish,189.0,0.4,146.0,0.5
2015-2019,Brooklyn,315,"Sheepshead Bay, Gerritsen Beach",Yoruba,40.0,0.1,25.0,0.1
2015-2019,Brooklyn,316,"Brownsville, Ocean Hill",Akan (incl. Twi),45.0,0.5,30.0,0.5
2015-2019,Brooklyn,316,"Brownsville, Ocean Hill",Albanian,14.0,0.1,0.0,0.0
2015-2019,Brooklyn,316,"Brownsville, Ocean Hill",Arabic,237.0,2.4,92.0,1.6
2015-2019,Brooklyn,316,"Brownsville, Ocean Hill",Bengali,185.0,1.9,70.0,1.2
2015-2019,Brooklyn,316,"Brownsville, Ocean Hill",Bulgarian,25.0,0.3,25.0,0.4
2015-2019,Brooklyn,316,"Brownsville, Ocean Hill","Chinese (incl. Mandarin, Cantonese)",345.0,3.5,154.0,2.7
2015-2019,Brooklyn,316,"Brownsville, Ocean Hill",Dutch,27.0,0.3,0.0,0.0
2015-2019,Brooklyn,316,"Brownsville, Ocean Hill",French,315.0,3.2,292.0,5.1
