id,language,value,Chai,description,latitude,longitude,genus,family,Form,In Script,Script_Form
mol,Moldavian,1,1,Words derived from Sinitic cha,47,29,Romance,Indo-European,,,Variant of cha/chai
Mongi,Mongi,,,,23.39918383,105.2343413,,Sino-Tibetan,lɔ⁵³,,
nai,Nanai,1,0,Words derived from Sinitic cha,49.5,137,Tungusic,Altaic,t͡ʃa͡i,,Variant of cha/chai
Nanchang,Nanchang,,,,28.706609,115.857468,,Sino-Tibetan,tsʰa²⁴,,
Narsu,Narsu (NW Nisu),,,,24.25746171,102.0476517,,Sino-Tibetan,lo̱²¹,,
Naso,Naso,,,,26.89835528,102.9271427,,Sino-Tibetan,lo̱⁵⁵,,
nep,Nepali,1,1,Words derived from Sinitic cha,28,85,Indic,Indo-European,chiya,चिया,चिया (chiya)
Nersu,Nersu,,,,27.141233,104.020331,,Sino-Tibetan,lu¹³,,
new,Newari (Kathmandu),1,1,Words derived from Sinitic cha,27.66666667,85.5,Mahakiranti,Sino-Tibetan,chiya,चिया,चिया (chiya)
nio,Nganasan,,,,73.14,86.21,,Uralic,c͡çɐi,,
Nipu,Nipu,,,,27.00771251,106.033544,,Sino-Tibetan,lu¹³,,
niv,Nivkh,1,1,,52.59,140.68,,Nivkh,cʰæɪ,, (cʰæɪ)
nog,Noghay,1,1,Words derived from Sinitic cha,44,46,Turkic,Altaic,,,Variant of cha/chai
krl,North Karelian,,,,65.17,30.87,,Uralic,t͡ʃæijy,,
kca,Northern Khanty,,,,62.43,66.12,,Uralic,ʃaj,,
kmr,Northern Kurdish,1,0,,37,43,,Indo-European,t͡ʃaj,çay,çay
mns,Northern Mansi,,,,64.41,61.34,,Uralic,sʲaːj,,
sme,Northern Sami,,,,68.72,22.11,,Uralic,te̯æcːʊ,,
sel,Northern Selkup,,,,59.94,82.3,,Uralic,t͡ɕoj,,
ykg,Northern Yukaghir,,,,69,155,,Yukaghir,t͡ʃaj,,
nor,Norwegian,2,2,Words derived from Min Nan Chinese te,61,8,Germanic,Indo-European,teː,te,te
Nruanghmei,Nruanghmei,,,,25,93.05,,Sino-Tibetan,ca,,
nbd,Nubian (Dongolese),1,1,Words derived from Sinitic cha,18.25,30.75,Nubian,Eastern Sudanic,shay,, (shay)
Numao,Numao,,,,25.447767,108.064732,,Hmong-Mien,tsʰa³¹,,
nun,Nung (in Vietnam),1,1,Words derived from Sinitic cha,21.91666667,106.4166667,Kam-Tai,Tai-Kadai,,chè,chè
Nunu,Nunu,,,,24.232341,107.194266,,Hmong-Mien,sa⁴²,,
NyagrongMinyag,Nyagrong Minyag (Ganzi Xinlong),,,,30.932449,100.326871,,Sino-Tibetan,ˊtɕõ,,
nyl,Nyelâyu,2,2,Words derived from Min Nan Chinese te,-20.33333333,164.3333333,Oceanic,Austronesian,,te,te
occ,Occitan,2,2,Words derived from Min Nan Chinese te,44,2,Romance,Indo-European,,tè,te
ojm,Ojibwe (Minnesota),3,3,Others,47.66666667,-92.5,Algonquian,Algic,,aniibiishaaboo,aniibiishaaboo
olo,Olonets Karelian,,,,61,33,,Uralic,t͡ʃʊɑjʊ,,
oya,Oriya,1,1,Words derived from Sinitic cha,21,85,Indic,Indo-European,cha,ଚା,ଚା (cha)
orh,Oromo (Harar),1,1,Words derived from Sinitic cha,9,42,Lowland East Cushitic,Afro-Asiatic,,,Variant of cha/chai
owc,Oromo (West-Central),1,1,Words derived from Sinitic cha,9,37,Lowland East Cushitic,Afro-Asiatic,,,Variant of cha/chai
Oroqen,Oroqen,1,0,,51.2829,126.111,,Tungusic,tʃay,, (tʃay)
oss,Ossetian,1,0,,43.18,44.23,,Indo-European,t͡saj,цай,цай (t͡saj)
pak,Pakanha,3,3,Others,-14.5,142.4166667,Northern Pama-Nyungan,Pama-Nyungan,,,Other Variant
Pandong,Pandong,,,,26.06349,107.693696,,Tai-Kadai,ȶia²,,
pan,Panjabi,1,1,Words derived from Sinitic cha,31,74,Indic,Indo-European,chah,ਚਾਹ,ਚਾਹ (chah)
psh,Pashto,1,0,Words derived from Sinitic cha,33,67,Iranian,Indo-European,t͡ʃɑj,چاي‎,چاي‎ (t͡ʃɑj)
psm,Passamaquoddy-Maliseet,3,3,Others,45,-67,Algonquian,Algic,,potewey,potewey
prs,Persian,1,0,Words derived from Sinitic cha,32,54,Iranian,Indo-European,chāy,چای‎,چای‎ (chāy)
poh,Pohnpeian,2,2,Words derived from Min Nan Chinese te,6.883333333,158.25,Oceanic,Austronesian,,,Variant of te
pol,Polish,3,3,Others,52,20,Slavic,Indo-European,xɛɾbata,herbata,herbata
por,Portuguese,1,1,Words derived from Sinitic cha,39,-8,Romance,Indo-European,ʃa,chá,chá
pro,Provençal,2,2,Words derived from Min Nan Chinese te,44,6,Romance,Indo-European,,,té
Qeqchi,Q'eqchi',2,2,,16,-89.8333,,Mayan,te,,te
qaf,Qafar,1,1,Words derived from Sinitic cha,12,42,Lowland East Cushitic,Afro-Asiatic,,,Variant of cha/chai
EasternQiandong,"Qiandong, East",,,,27.78098,110.499463,,Hmong-Mien,tɕin²¹²,,
NorthernQiandong,"Qiandong, North",,,,26.68993,108.401145,,Hmong-Mien,tɕin¹¹,,
SouthernQiandong,"Qiandong, South",,,,25.520166,108.779365,,Hmong-Mien,ʔu¹³tɕi²⁴¹,,
Qiliqiao,Qiliqiao,,,,25.6553283,100.1709288,,Sino-Tibetan,tsɔ²¹,,
Qingyun,Qingyun,,,,24.8709,100.711,,Sino-Tibetan,la̤²¹ɣɨ⁵⁵,,
qay,Quechua (Ayacucho),2,2,Words derived from Min Nan Chinese te,-14,-74,Quechuan,Quechuan,t e,,te
ren,Rendille,3,3,Others,2,37.5,Lowland East Cushitic,Afro-Asiatic,,,Other Variant
rbg,Romani (Burgenland),2,2,Words derived from Min Nan Chinese te,47.5,16.5,Indic,Indo-European,,,Variant of te
rka,Romani (Kalderash),3,3,Others,45,21,Indic,Indo-European,,,Other Variant
rlo,Romani (Lovari),2,2,Words derived from Min Nan Chinese te,47,21.5,Indic,Indo-European,,,Variant of te
